,filename,width,height,class,xmin,ymin,xmax,ymax
0,103_10400100080A3000_tile_160.png,512,512,plane,211,379,340,477
1,103_10400100080A3000_tile_160.png,512,512,plane,282,248,412,346
2,103_10400100080A3000_tile_160.png,512,512,plane,328,119,478,216
3,103_10400100080A3000_tile_160.png,512,512,plane,428,0,512,87
4,84_10400100460EF400_tile_323.png,512,512,plane,0,18,56,139
5,52_1040010019854C00_tile_550.png,512,512,plane,358,231,454,299
6,53_10400100087A4F00_tile_116.png,512,512,plane,391,491,415,512
7,53_10400100087A4F00_tile_116.png,512,512,plane,403,470,425,492
8,54_1040010024086400_tile_583.png,512,512,plane,132,0,302,31
9,113_1040010006ABC200_tile_47.png,512,512,plane,104,232,136,254
10,113_1040010006ABC200_tile_47.png,512,512,plane,134,63,159,94
11,113_1040010006ABC200_tile_47.png,512,512,plane,136,128,161,159
12,113_1040010006ABC200_tile_47.png,512,512,plane,143,173,175,196
13,18_1040050010DC4900_tile_1999.png,512,512,plane,147,0,416,62
14,54_1040010024086400_tile_782.png,512,512,plane,415,102,512,272
15,54_104001003D4C9C00_tile_254.png,512,512,plane,391,194,512,335
16,54_104001003D4C9C00_tile_254.png,512,512,plane,408,26,512,158
17,53_1040010008249C00_tile_175.png,512,512,plane,43,79,104,133
18,54_104001003D4C9C00_tile_549.png,512,512,plane,80,284,235,397
19,54_104001003D4C9C00_tile_549.png,512,512,plane,291,81,399,196
20,54_10400100061AF700_tile_502.png,512,512,plane,0,445,69,511
21,54_10400100061AF700_tile_502.png,512,512,plane,56,121,179,243
22,54_10400100061AF700_tile_502.png,512,512,plane,201,120,310,231
23,54_10400100061AF700_tile_502.png,512,512,plane,258,433,363,511
24,54_10400100061AF700_tile_502.png,512,512,plane,393,407,504,511
25,128_104001004215BF00_tile_2147.png,512,512,plane,0,0,37,75
26,43_104001000BA11B00_tile_95.png,512,512,plane,94,91,159,125
27,43_104001000BA11B00_tile_95.png,512,512,plane,266,106,310,130
28,43_104001000BA11B00_tile_95.png,512,512,plane,406,147,445,172
29,66_104001002227AF00_tile_72.png,512,512,plane,187,58,243,104
30,66_104001002227AF00_tile_72.png,512,512,plane,251,60,302,103
31,66_104001002227AF00_tile_72.png,512,512,plane,251,100,306,146
32,66_104001002227AF00_tile_72.png,512,512,plane,228,0,357,54
33,66_104001002227AF00_tile_72.png,512,512,plane,306,60,361,106
34,66_104001002227AF00_tile_72.png,512,512,plane,317,265,405,340
35,66_104001002227AF00_tile_72.png,512,512,plane,428,238,457,260
36,18_10400100211BDD00_tile_4282.png,512,512,plane,351,476,512,512
37,37_104001000EA43C00_tile_10.png,512,512,plane,0,67,31,104
38,37_104001000EA43C00_tile_10.png,512,512,plane,22,96,74,129
39,37_104001000EA43C00_tile_10.png,512,512,plane,27,140,79,176
